CultureType,Month,Year,Samples,Positive,MDR,MeropenemResistant,CONS,MRSA,MSSA
Blood Culture,FEBRUARY,2025,123,34,0,0,9,0,0
Blood Culture,MARCH,2025,180,69,14,7,26,0,0
Blood Culture,APRIL,2025,186,77,17,13,18,1,0
Blood Culture,MAY,2025,203,52,3,2,20,1,0
Blood Culture,JUNE,2025,200,54,5,5,25,0,0
Blood Culture,JULY,2025,176,44,2,1,20,1,0
Blood Culture,AUGUST,2025,279,61,1,2,25,0,0
Blood Culture,SEPTEMBER,2025,250,90,4,4,28,0,0
Blood Culture,OCTOBER,2025,170,54,1,0,18,1,0
Blood Culture,NOVEMBER,2025,170,54,3,3,11,0,0
Blood Culture,DECEMBER,2025,150,35,3,3,7,0,0
Urine Culture,FEBRUARY,2025,118,13,5,5,0,0,0
Urine Culture,MARCH,2025,172,20,8,3,0,0,0
Urine Culture,APRIL,2025,176,24,5,4,0,0,0
Urine Culture,MAY,2025,125,29,8,5,0,0,0
Urine Culture,JUNE,2025,207,41,12,10,0,0,0
Urine Culture,JULY,2025,195,41,5,3,0,0,0
Urine Culture,AUGUST,2025,283,43,5,5,0,0,0
Urine Culture,SEPTEMBER,2025,260,50,13,6,0,0,0
Urine Culture,OCTOBER,2025,200,31,10,5,0,0,0
Urine Culture,NOVEMBER,2025,195,30,8,3,0,0,0
Urine Culture,DECEMBER,2025,43,7,1,1,0,0,0
Pus Culture,FEBRUARY,2025,6,1,0,0,0,0,0
Pus Culture,MARCH,2025,3,0,0,0,0,0,0
Pus Culture,APRIL,2025,13,4,1,1,0,1,1
Pus Culture,MAY,2025,10,8,6,6,0,1,2
Pus Culture,JUNE,2025,15,5,4,3,0,0,0
Pus Culture,JULY,2025,27,13,5,5,0,2,0
Pus Culture,AUGUST,2025,12,7,2,2,0,0,0
Pus Culture,SEPTEMBER,2025,13,7,0,0,0,1,0
Pus Culture,OCTOBER,2025,20,13,1,1,0,0,0
Pus Culture,NOVEMBER,2025,10,5,0,0,0,1,0
Pus Culture,DECEMBER,2025,15,8,2,2,0,1,0
Respiratory Culture,FEBRUARY,2025,29,9,6,6,0,0,0
Respiratory Culture,MARCH,2025,47,18,6,5,0,0,0
Respiratory Culture,APRIL,2025,32,16,12,11,0,0,0
Respiratory Culture,MAY,2025,51,12,9,8,0,0,0
Respiratory Culture,JUNE,2025,45,16,3,2,0,0,0
Respiratory Culture,JULY,2025,30,11,8,7,0,0,0
Respiratory Culture,AUGUST,2025,50,17,3,3,0,0,0
Respiratory Culture,SEPTEMBER,2025,50,14,6,4,0,1,0
Respiratory Culture,OCTOBER,2025,45,18,4,4,0,0,0
Respiratory Culture,NOVEMBER,2025,60,10,5,5,0,0,0
Respiratory Culture,DECEMBER,2025,45,15,5,3,0,0,0
